Epoch #1: episode_reward: 1700.000 ± 0.000, episode_length: 100.000 ± 0.000
Epoch #2: episode_reward: 1700.000 ± 0.000, episode_length: 100.000 ± 0.000
Epoch #3: episode_reward: 1700.000 ± 0.000, episode_length: 100.000 ± 0.000
Epoch #4: episode_reward: 1700.000 ± 0.000, episode_length: 100.000 ± 0.000
Epoch #5: episode_reward: 1700.000 ± 0.000, episode_length: 100.000 ± 0.000
Epoch #6: episode_reward: 1700.000 ± 0.000, episode_length: 100.000 ± 0.000
Epoch #7: episode_reward: 1700.000 ± 0.000, episode_length: 100.000 ± 0.000
Epoch #8: episode_reward: 1700.000 ± 0.000, episode_length: 100.000 ± 0.000
Epoch #9: episode_reward: 1700.000 ± 0.000, episode_length: 100.000 ± 0.000
Epoch #10: episode_reward: 1700.000 ± 0.000, episode_length: 100.000 ± 0.000
Epoch #11: episode_reward: 1700.000 ± 0.000, episode_length: 100.000 ± 0.000
Epoch #12: episode_reward: 1700.000 ± 0.000, episode_length: 100.000 ± 0.000
Epoch #13: episode_reward: 1700.000 ± 0.000, episode_length: 100.000 ± 0.000
Epoch #14: episode_reward: 1700.000 ± 0.000, episode_length: 100.000 ± 0.000
Epoch #15: episode_reward: 1700.000 ± 0.000, episode_length: 100.000 ± 0.000
Epoch #16: episode_reward: 1700.000 ± 0.000, episode_length: 100.000 ± 0.000
Epoch #17: episode_reward: 1700.000 ± 0.000, episode_length: 100.000 ± 0.000
Epoch #18: episode_reward: 1700.000 ± 0.000, episode_length: 100.000 ± 0.000
Epoch #19: episode_reward: 1700.000 ± 0.000, episode_length: 100.000 ± 0.000
Epoch #20: episode_reward: 1700.000 ± 0.000, episode_length: 100.000 ± 0.000
total time: 3377.211s
