Epoch #1: episode_reward: 17112.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.692 ± 0.000,                               episode_1_off_accuracy: 0.713 ± 0.000
Epoch #2: episode_reward: 17112.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.692 ± 0.000,                               episode_1_off_accuracy: 0.713 ± 0.000
Epoch #3: episode_reward: 17112.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.692 ± 0.000,                               episode_1_off_accuracy: 0.713 ± 0.000
Epoch #4: episode_reward: 17112.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.692 ± 0.000,                               episode_1_off_accuracy: 0.713 ± 0.000
Epoch #5: episode_reward: 17112.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.692 ± 0.000,                               episode_1_off_accuracy: 0.713 ± 0.000
Epoch #6: episode_reward: 17112.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.692 ± 0.000,                               episode_1_off_accuracy: 0.713 ± 0.000
Epoch #7: episode_reward: 17105.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.634 ± 0.000,                               episode_1_off_accuracy: 0.759 ± 0.000
Epoch #8: episode_reward: 17105.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.167 ± 0.000,                               episode_1_off_accuracy: 0.601 ± 0.000
Epoch #9: episode_reward: 17119.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.192 ± 0.000,                               episode_1_off_accuracy: 0.485 ± 0.000
Epoch #10: episode_reward: 17105.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.169 ± 0.000,                               episode_1_off_accuracy: 0.419 ± 0.000
Epoch #11: episode_reward: 17105.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.225 ± 0.000,                               episode_1_off_accuracy: 0.432 ± 0.000
Epoch #12: episode_reward: 17119.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.183 ± 0.000,                               episode_1_off_accuracy: 0.464 ± 0.000
Epoch #13: episode_reward: 17105.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.184 ± 0.000,                               episode_1_off_accuracy: 0.361 ± 0.000
Epoch #14: episode_reward: 17119.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.188 ± 0.000,                               episode_1_off_accuracy: 0.366 ± 0.000
