Epoch #0: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #1: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #2: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #3: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #4: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #5: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #6: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #7: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #8: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #9: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #10: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #11: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #12: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #13: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #14: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #15: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #16: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #17: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #18: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #19: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #20: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #21: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #22: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #23: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #24: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #25: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #26: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #27: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #28: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #29: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #30: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #31: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #32: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #33: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #34: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #35: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #36: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #37: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #38: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #39: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #40: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #41: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #42: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #43: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #44: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #45: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #46: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #47: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #48: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #49: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #50: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #51: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #52: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #53: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #54: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #55: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #56: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #57: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #58: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #59: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #60: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #61: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #62: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #63: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #64: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #65: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #66: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #67: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #68: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #69: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #70: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #71: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
