Start training dynamics
loss/model_eval_mse_loss: 0.001883
loss/model_eval_mse_loss: 0.000583
loss/model_eval_mse_loss: 0.000766
loss/model_eval_mse_loss: 0.000423
loss/model_eval_mse_loss: 0.000195
loss/model_eval_mse_loss: 0.000077
loss/model_eval_mse_loss: 0.000094
loss/model_eval_mse_loss: 0.000019
loss/model_eval_mse_loss: 0.000025
loss/model_eval_mse_loss: 0.000021
loss/model_eval_mse_loss: 0.000001
loss/model_eval_mse_loss: 0.000033
loss/model_eval_mse_loss: 0.000000
loss/model_eval_mse_loss: 0.000009
loss/model_eval_mse_loss: 0.000032
loss/model_eval_mse_loss: 0.000001
loss/model_eval_mse_loss: 0.000007
loss/model_eval_mse_loss: 0.000015
loss/model_eval_mse_loss: 0.000016
loss/model_eval_mse_loss: 0.000017
loss/model_eval_mse_loss: 0.000047
loss/model_eval_mse_loss: 0.000001
loss/model_eval_mse_loss: 0.000024
loss/model_eval_mse_loss: 0.000003
loss/model_eval_mse_loss: 0.000063
loss/model_eval_mse_loss: 0.000004
loss/model_eval_mse_loss: 0.000013
loss/model_eval_mse_loss: 0.000001
loss/model_eval_mse_loss: 0.000033
loss/model_eval_mse_loss: 0.000030
loss/model_eval_mse_loss: 0.000013
loss/model_eval_mse_loss: 0.000001
loss/model_eval_mse_loss: 0.000001
loss/model_eval_mse_loss: 0.000009
loss/model_eval_mse_loss: 0.000015
loss/model_eval_mse_loss: 0.000024
loss/model_eval_mse_loss: 0.000004
total time: 50.824s
Epoch #1: episode_reward: 0.664 ± 4.525,                                episode_length: 6.000 ± 0.000
Epoch #2: episode_reward: 0.282 ± 4.849,                                episode_length: 6.000 ± 0.000
Epoch #3: episode_reward: 1.112 ± 4.031,                                episode_length: 6.000 ± 0.000
Epoch #4: episode_reward: 0.527 ± 4.080,                                episode_length: 6.000 ± 0.000
Epoch #5: episode_reward: 0.339 ± 4.571,                                episode_length: 6.000 ± 0.000
Epoch #6: episode_reward: 0.416 ± 4.624,                                episode_length: 6.000 ± 0.000
Epoch #7: episode_reward: 0.267 ± 4.794,                                episode_length: 6.000 ± 0.000
Epoch #8: episode_reward: 0.826 ± 4.418,                                episode_length: 6.000 ± 0.000
Epoch #9: episode_reward: 0.188 ± 4.965,                                episode_length: 6.000 ± 0.000
Epoch #10: episode_reward: 0.023 ± 5.491,                                episode_length: 6.000 ± 0.000
Epoch #11: episode_reward: 1.064 ± 4.318,                                episode_length: 6.000 ± 0.000
Epoch #12: episode_reward: 0.444 ± 4.464,                                episode_length: 6.000 ± 0.000
Epoch #13: episode_reward: 0.652 ± 4.349,                                episode_length: 6.000 ± 0.000
Epoch #14: episode_reward: 0.298 ± 4.626,                                episode_length: 6.000 ± 0.000
Epoch #15: episode_reward: -0.075 ± 4.770,                                episode_length: 6.000 ± 0.000
Epoch #16: episode_reward: 0.234 ± 4.807,                                episode_length: 6.000 ± 0.000
Epoch #17: episode_reward: 0.311 ± 5.220,                                episode_length: 6.000 ± 0.000
Epoch #18: episode_reward: 0.343 ± 4.719,                                episode_length: 6.000 ± 0.000
Epoch #19: episode_reward: -0.500 ± 4.970,                                episode_length: 6.000 ± 0.000
