Epoch #1: episode_reward: 17126.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.684 ± 0.000,                               episode_1_off_accuracy: 0.713 ± 0.000
Epoch #2: episode_reward: 17126.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.592 ± 0.000,                               episode_1_off_accuracy: 0.714 ± 0.000
Epoch #3: episode_reward: 17126.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.331 ± 0.000,                               episode_1_off_accuracy: 0.753 ± 0.000
Epoch #4: episode_reward: 17133.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.201 ± 0.000,                               episode_1_off_accuracy: 0.738 ± 0.000
Epoch #5: episode_reward: 17119.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.177 ± 0.000,                               episode_1_off_accuracy: 0.590 ± 0.000
Epoch #6: episode_reward: 17105.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.181 ± 0.000,                               episode_1_off_accuracy: 0.571 ± 0.000
Epoch #7: episode_reward: 17133.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.155 ± 0.000,                               episode_1_off_accuracy: 0.457 ± 0.000
Epoch #8: episode_reward: 17126.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.191 ± 0.000,                               episode_1_off_accuracy: 0.511 ± 0.000
Epoch #9: episode_reward: 17133.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.141 ± 0.000,                               episode_1_off_accuracy: 0.502 ± 0.000
Epoch #10: episode_reward: 17133.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.140 ± 0.000,                               episode_1_off_accuracy: 0.336 ± 0.000
Epoch #11: episode_reward: 17133.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.164 ± 0.000,                               episode_1_off_accuracy: 0.357 ± 0.000
Epoch #12: episode_reward: 17140.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.155 ± 0.000,                               episode_1_off_accuracy: 0.402 ± 0.000
Epoch #13: episode_reward: 17140.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.149 ± 0.000,                               episode_1_off_accuracy: 0.417 ± 0.000
Epoch #14: episode_reward: 17140.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.153 ± 0.000,                               episode_1_off_accuracy: 0.434 ± 0.000
Epoch #15: episode_reward: 17140.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.134 ± 0.000,                               episode_1_off_accuracy: 0.446 ± 0.000
Epoch #16: episode_reward: 17126.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.139 ± 0.000,                               episode_1_off_accuracy: 0.473 ± 0.000
Epoch #17: episode_reward: 17140.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.140 ± 0.000,                               episode_1_off_accuracy: 0.458 ± 0.000
Epoch #18: episode_reward: 17133.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.148 ± 0.000,                               episode_1_off_accuracy: 0.463 ± 0.000
Epoch #19: episode_reward: 17140.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.136 ± 0.000,                               episode_1_off_accuracy: 0.414 ± 0.000
Epoch #20: episode_reward: 17119.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.159 ± 0.000,                               episode_1_off_accuracy: 0.393 ± 0.000
total time: 4128.702s
