Timesteps,episode_reward
1000,-1.4732
2000,-4.4143
3000,-41.841
4000,-126.7694
5000,-185.9658
6000,14.411
7000,-291.4379
8000,-225.0686
9000,151.3596
10000,10.7503
11000,-153.1774
12000,-356.3865
13000,102.1387
14000,756.7137
15000,512.7555
16000,855.7888
17000,39.047
18000,-231.1245
19000,-243.7508
20000,-101.6149
21000,226.5097
22000,-96.0074
23000,0.6265
24000,169.1951
25000,-189.7669
26000,-140.7182
27000,-245.8699
28000,-190.2984
29000,-106.8254
30000,-163.1964
31000,-82.1646
32000,-189.1705
33000,-252.3076
34000,-224.5143
35000,-215.8482
36000,-249.2941
37000,-280.5724
38000,-241.6135
39000,-253.7871
40000,-226.0185
41000,-296.8033
42000,-351.6757
43000,-290.1257
44000,-314.9391
45000,-304.322
46000,-261.0905
47000,46.6654
48000,373.0338
49000,40.858
50000,13.8671
51000,-190.9414
52000,-97.1813
53000,1162.783
54000,966.5867
55000,949.6985
56000,775.7542
57000,127.0722
58000,49.3797
59000,814.5367
60000,1167.9044
61000,1910.2704
62000,1097.1072
63000,1233.9445
64000,957.4101
65000,1953.5511
66000,1446.1438
67000,960.5622
68000,1029.1666
69000,1458.1132
70000,879.7576
71000,1033.2621
72000,1965.3086
73000,1396.3724
74000,1518.526
75000,2207.5085
76000,2300.8848
77000,1971.9337
78000,1394.0892
79000,1333.7429
80000,2205.6917
81000,1999.012
82000,1274.3475
83000,1596.5153
84000,1173.4156
85000,731.1902
86000,1548.1216
87000,2364.6265
88000,1863.6682
89000,122.9968
90000,-218.9692
91000,-290.378
92000,-215.6983
93000,2476.022
94000,3293.5447
95000,2039.1796
96000,44.3771
97000,1575.1602
98000,1854.4988
99000,1305.1633
100000,2572.1462
101000,2750.3445
102000,3425.0342
103000,2504.7168
104000,2323.0916
105000,2509.1582
106000,2541.1853
107000,3402.7725
108000,3488.0088
109000,3861.4988
110000,3553.5281
111000,1855.9749
112000,2219.5315
113000,3067.6753
114000,2666.8799
115000,2742.7527
116000,2472.9985
117000,2318.8599
118000,3252.3687
119000,3444.9729
120000,1913.3799
121000,3278.1658
122000,2920.333
123000,2436.6025
124000,2460.8376
125000,3045.8914
126000,2513.2917
127000,2575.3601
128000,3000.6409
129000,3103.7136
130000,3110.6543
131000,2476.9839
132000,2779.0896
133000,3306.5349
134000,2546.0894
135000,2261.2556
136000,1655.9589
137000,2160.9756
138000,2970.8115
139000,1048.682
140000,1832.8698
141000,3027.417
142000,3500.1968
143000,2780.4207
144000,3028.0359
145000,2407.4431
146000,2307.6768
147000,1902.8842
148000,2868.6692
149000,2007.7803
150000,3165.665
151000,1691.579
152000,1490.2061
153000,3733.9551
154000,3041.2925
155000,289.7085
156000,3542.4272
157000,3453.4426
158000,2043.33
159000,2714.6343
160000,2096.8096
161000,2250.4387
162000,2741.623
163000,3400.3044
164000,3299.2378
165000,3712.2202
166000,3553.5283
167000,2650.7798
168000,3288.4836
169000,4183.2412
170000,3948.9353
171000,4708.2539
172000,3032.1028
173000,3238.0742
174000,2658.2542
175000,2731.0193
176000,2725.9321
177000,4311.6504
178000,4293.9185
179000,4137.6738
180000,3545.8608
181000,2877.3982
182000,3638.293
183000,3098.3972
184000,3436.4524
185000,3186.2878
186000,3866.3455
187000,3551.7031
188000,3265.6384
189000,4335.7563
190000,3679.1265
191000,3347.738
192000,2613.9314
193000,3457.9834
194000,3120.1948
195000,3144.8132
196000,3611.7104
197000,4924.2148
198000,4159.0703
199000,2291.2549
200000,3305.7615
201000,3947.0063
202000,4693.4927
203000,4513.5234
204000,4562.5073
205000,4304.7456
206000,3802.3208
207000,3502.5515
208000,3926.5747
209000,4019.2312
210000,4330.1196
211000,4244.5811
212000,4385.4468
213000,4104.8828
214000,3913.5754
215000,3994.8552
216000,3406.6431
217000,2992.5005
218000,4603.4756
219000,5055.0254
220000,4429.2725
221000,4445.0386
222000,4326.6816
223000,4255.9106
224000,3332.9858
225000,3628.4812
226000,4235.603
227000,3901.1462
228000,4161.4702
229000,4835.7026
230000,3438.9795
231000,2555.5022
232000,2605.7935
233000,4423.4653
234000,3592.9192
235000,3994.2795
236000,4975.4297
237000,4572.1206
238000,3595.6636
239000,4055.1155
240000,2954.1648
241000,3993.2175
242000,3010.5916
243000,3288.0544
244000,3058.7715
245000,3104.0898
246000,3384.8074
247000,4630.0249
248000,4845.481
249000,3342.5664
250000,4083.8733
251000,3305.6077
252000,2805.7405
253000,4547.8945
254000,5063.4902
255000,4104.0151
256000,4368.229
257000,4348.7495
258000,4249.9243
259000,4284.2163
260000,3781.5488
261000,3780.783
262000,4494.3364
263000,4391.6553
264000,3704.6875
265000,4855.8315
266000,4243.3169
267000,4217.7837
268000,4841.2363
269000,4012.6311
270000,4372.2671
271000,2250.0139
272000,4022.1233
273000,3879.5547
274000,3164.5186
275000,4321.9829
276000,2843.8701
277000,4034.2017
278000,3506.1497
279000,2722.4995
280000,3006.1848
281000,3372.6714
282000,4823.1299
283000,3480.1875
284000,4888.5532
285000,4495.6489
286000,2923.8987
287000,4389.2529
288000,3875.5266
289000,4006.1069
290000,3408.1555
291000,3865.8647
292000,4101.8354
293000,3852.8628
294000,4131.5381
295000,5565.9297
296000,3825.8267
297000,4490.5356
298000,5055.4229
299000,4656.4961
300000,4570.5493
301000,5180.7896
302000,4318.7515
303000,4040.3408
304000,3920.0376
305000,4311.8931
306000,4088.4814
307000,3654.4788
308000,4596.2764
309000,4410.8921
310000,3770.269
311000,4001.5959
312000,3750.9316
313000,4686.4238
314000,4378.9214
315000,4031.7441
316000,3942.6633
317000,3859.0972
318000,4141.6084
319000,4963.0664
320000,4871.7319
321000,4322.3418
322000,3985.7764
323000,4149.6846
324000,3870.1101
325000,3762.291
326000,4242.7021
327000,3902.0938
328000,4226.042
329000,3818.5532
330000,4645.9033
331000,4159.1958
332000,3589.8555
333000,3688.2861
334000,3731.1931
335000,3719.9736
336000,3804.1243
337000,4772.9946
338000,4795.6641
339000,3691.9836
340000,3143.7644
341000,3515.7205
342000,3760.7488
