Epoch #1: episode_reward: -1.473 ± 0.828,                               episode_length: 1000.000 ± 0.000
Epoch #2: episode_reward: -4.414 ± 0.603,                               episode_length: 1000.000 ± 0.000
Epoch #3: episode_reward: -41.841 ± 0.909,                               episode_length: 1000.000 ± 0.000
Epoch #4: episode_reward: -126.769 ± 3.482,                               episode_length: 1000.000 ± 0.000
Epoch #5: episode_reward: -185.966 ± 13.942,                               episode_length: 1000.000 ± 0.000
Epoch #6: episode_reward: 14.411 ± 174.031,                               episode_length: 1000.000 ± 0.000
Epoch #7: episode_reward: -291.438 ± 12.191,                               episode_length: 1000.000 ± 0.000
Epoch #8: episode_reward: -225.069 ± 184.829,                               episode_length: 1000.000 ± 0.000
Epoch #9: episode_reward: 151.360 ± 157.881,                               episode_length: 1000.000 ± 0.000
Epoch #10: episode_reward: 10.750 ± 196.168,                               episode_length: 1000.000 ± 0.000
Epoch #11: episode_reward: -153.177 ± 171.119,                               episode_length: 1000.000 ± 0.000
Epoch #12: episode_reward: -356.387 ± 1.953,                               episode_length: 1000.000 ± 0.000
Epoch #13: episode_reward: 102.139 ± 503.119,                               episode_length: 1000.000 ± 0.000
Epoch #14: episode_reward: 756.714 ± 89.348,                               episode_length: 1000.000 ± 0.000
Epoch #15: episode_reward: 512.755 ± 34.335,                               episode_length: 1000.000 ± 0.000
Epoch #16: episode_reward: 855.789 ± 71.932,                               episode_length: 1000.000 ± 0.000
Epoch #17: episode_reward: 39.047 ± 93.050,                               episode_length: 1000.000 ± 0.000
Epoch #18: episode_reward: -231.124 ± 1.300,                               episode_length: 1000.000 ± 0.000
Epoch #19: episode_reward: -243.751 ± 1.017,                               episode_length: 1000.000 ± 0.000
Epoch #20: episode_reward: -101.615 ± 8.721,                               episode_length: 1000.000 ± 0.000
Epoch #21: episode_reward: 226.510 ± 17.285,                               episode_length: 1000.000 ± 0.000
Epoch #22: episode_reward: -96.007 ± 1.890,                               episode_length: 1000.000 ± 0.000
Epoch #23: episode_reward: 0.627 ± 1.988,                               episode_length: 1000.000 ± 0.000
Epoch #24: episode_reward: 169.195 ± 34.565,                               episode_length: 1000.000 ± 0.000
Epoch #25: episode_reward: -189.767 ± 3.115,                               episode_length: 1000.000 ± 0.000
Epoch #26: episode_reward: -140.718 ± 40.659,                               episode_length: 1000.000 ± 0.000
Epoch #27: episode_reward: -245.870 ± 0.715,                               episode_length: 1000.000 ± 0.000
Epoch #28: episode_reward: -190.298 ± 1.394,                               episode_length: 1000.000 ± 0.000
Epoch #29: episode_reward: -106.825 ± 29.818,                               episode_length: 1000.000 ± 0.000
Epoch #30: episode_reward: -163.196 ± 11.341,                               episode_length: 1000.000 ± 0.000
Epoch #31: episode_reward: -82.165 ± 96.337,                               episode_length: 1000.000 ± 0.000
Epoch #32: episode_reward: -189.171 ± 2.437,                               episode_length: 1000.000 ± 0.000
Epoch #33: episode_reward: -252.308 ± 3.522,                               episode_length: 1000.000 ± 0.000
Epoch #34: episode_reward: -224.514 ± 1.412,                               episode_length: 1000.000 ± 0.000
Epoch #35: episode_reward: -215.848 ± 6.203,                               episode_length: 1000.000 ± 0.000
Epoch #36: episode_reward: -249.294 ± 14.877,                               episode_length: 1000.000 ± 0.000
Epoch #37: episode_reward: -280.572 ± 23.665,                               episode_length: 1000.000 ± 0.000
Epoch #38: episode_reward: -241.613 ± 4.195,                               episode_length: 1000.000 ± 0.000
Epoch #39: episode_reward: -253.787 ± 1.826,                               episode_length: 1000.000 ± 0.000
Epoch #40: episode_reward: -226.019 ± 40.748,                               episode_length: 1000.000 ± 0.000
Epoch #41: episode_reward: -296.803 ± 1.459,                               episode_length: 1000.000 ± 0.000
Epoch #42: episode_reward: -351.676 ± 2.702,                               episode_length: 1000.000 ± 0.000
Epoch #43: episode_reward: -290.126 ± 10.261,                               episode_length: 1000.000 ± 0.000
Epoch #44: episode_reward: -314.939 ± 4.422,                               episode_length: 1000.000 ± 0.000
Epoch #45: episode_reward: -304.322 ± 36.671,                               episode_length: 1000.000 ± 0.000
Epoch #46: episode_reward: -261.091 ± 16.759,                               episode_length: 1000.000 ± 0.000
Epoch #47: episode_reward: 46.665 ± 53.192,                               episode_length: 1000.000 ± 0.000
Epoch #48: episode_reward: 373.034 ± 75.003,                               episode_length: 1000.000 ± 0.000
Epoch #49: episode_reward: 40.858 ± 125.614,                               episode_length: 1000.000 ± 0.000
Epoch #50: episode_reward: 13.867 ± 90.690,                               episode_length: 1000.000 ± 0.000
Epoch #51: episode_reward: -190.941 ± 26.925,                               episode_length: 1000.000 ± 0.000
Epoch #52: episode_reward: -97.181 ± 105.433,                               episode_length: 1000.000 ± 0.000
Epoch #53: episode_reward: 1162.783 ± 385.096,                               episode_length: 1000.000 ± 0.000
Epoch #54: episode_reward: 966.587 ± 138.979,                               episode_length: 1000.000 ± 0.000
Epoch #55: episode_reward: 949.698 ± 89.024,                               episode_length: 1000.000 ± 0.000
Epoch #56: episode_reward: 775.754 ± 144.015,                               episode_length: 1000.000 ± 0.000
Epoch #57: episode_reward: 127.072 ± 269.703,                               episode_length: 1000.000 ± 0.000
Epoch #58: episode_reward: 49.380 ± 140.400,                               episode_length: 1000.000 ± 0.000
Epoch #59: episode_reward: 814.537 ± 87.765,                               episode_length: 1000.000 ± 0.000
Epoch #60: episode_reward: 1167.904 ± 46.983,                               episode_length: 1000.000 ± 0.000
Epoch #61: episode_reward: 1910.270 ± 196.151,                               episode_length: 1000.000 ± 0.000
Epoch #62: episode_reward: 1097.107 ± 103.427,                               episode_length: 1000.000 ± 0.000
Epoch #63: episode_reward: 1233.944 ± 535.215,                               episode_length: 1000.000 ± 0.000
Epoch #64: episode_reward: 957.410 ± 473.695,                               episode_length: 1000.000 ± 0.000
Epoch #65: episode_reward: 1953.551 ± 713.896,                               episode_length: 1000.000 ± 0.000
Epoch #66: episode_reward: 1446.144 ± 116.480,                               episode_length: 1000.000 ± 0.000
Epoch #67: episode_reward: 960.562 ± 769.286,                               episode_length: 1000.000 ± 0.000
Epoch #68: episode_reward: 1029.167 ± 75.334,                               episode_length: 1000.000 ± 0.000
Epoch #69: episode_reward: 1458.113 ± 116.319,                               episode_length: 1000.000 ± 0.000
Epoch #70: episode_reward: 879.758 ± 45.559,                               episode_length: 1000.000 ± 0.000
Epoch #71: episode_reward: 1033.262 ± 269.872,                               episode_length: 1000.000 ± 0.000
Epoch #72: episode_reward: 1965.309 ± 170.745,                               episode_length: 1000.000 ± 0.000
Epoch #73: episode_reward: 1396.372 ± 823.793,                               episode_length: 1000.000 ± 0.000
Epoch #74: episode_reward: 1518.526 ± 67.962,                               episode_length: 1000.000 ± 0.000
Epoch #75: episode_reward: 2207.508 ± 90.161,                               episode_length: 1000.000 ± 0.000
Epoch #76: episode_reward: 2300.885 ± 812.965,                               episode_length: 1000.000 ± 0.000
Epoch #77: episode_reward: 1971.934 ± 132.793,                               episode_length: 1000.000 ± 0.000
Epoch #78: episode_reward: 1394.089 ± 122.159,                               episode_length: 1000.000 ± 0.000
Epoch #79: episode_reward: 1333.743 ± 70.064,                               episode_length: 1000.000 ± 0.000
Epoch #80: episode_reward: 2205.692 ± 113.088,                               episode_length: 1000.000 ± 0.000
Epoch #81: episode_reward: 1999.012 ± 115.642,                               episode_length: 1000.000 ± 0.000
Epoch #82: episode_reward: 1274.348 ± 1262.361,                               episode_length: 1000.000 ± 0.000
Epoch #83: episode_reward: 1596.515 ± 87.937,                               episode_length: 1000.000 ± 0.000
Epoch #84: episode_reward: 1173.416 ± 692.225,                               episode_length: 1000.000 ± 0.000
Epoch #85: episode_reward: 731.190 ± 40.761,                               episode_length: 1000.000 ± 0.000
Epoch #86: episode_reward: 1548.122 ± 580.705,                               episode_length: 1000.000 ± 0.000
Epoch #87: episode_reward: 2364.626 ± 346.929,                               episode_length: 1000.000 ± 0.000
Epoch #88: episode_reward: 1863.668 ± 435.219,                               episode_length: 1000.000 ± 0.000
Epoch #89: episode_reward: 122.997 ± 551.752,                               episode_length: 1000.000 ± 0.000
Epoch #90: episode_reward: -218.969 ± 36.953,                               episode_length: 1000.000 ± 0.000
Epoch #91: episode_reward: -290.378 ± 4.423,                               episode_length: 1000.000 ± 0.000
Epoch #92: episode_reward: -215.698 ± 12.272,                               episode_length: 1000.000 ± 0.000
Epoch #93: episode_reward: 2476.022 ± 640.137,                               episode_length: 1000.000 ± 0.000
Epoch #94: episode_reward: 3293.545 ± 132.250,                               episode_length: 1000.000 ± 0.000
Epoch #95: episode_reward: 2039.180 ± 166.633,                               episode_length: 1000.000 ± 0.000
