Epoch #1: episode_reward: -0.481 ± 0.913,                               episode_length: 1000.000 ± 0.000
Epoch #2: episode_reward: -0.805 ± 0.658,                               episode_length: 1000.000 ± 0.000
Epoch #3: episode_reward: 175.991 ± 0.745,                               episode_length: 1000.000 ± 0.000
Epoch #4: episode_reward: 1478.028 ± 54.713,                               episode_length: 1000.000 ± 0.000
Epoch #5: episode_reward: 1862.429 ± 548.989,                               episode_length: 1000.000 ± 0.000
Epoch #6: episode_reward: 254.478 ± 347.165,                               episode_length: 1000.000 ± 0.000
Epoch #7: episode_reward: 435.022 ± 709.909,                               episode_length: 1000.000 ± 0.000
Epoch #8: episode_reward: 561.373 ± 659.760,                               episode_length: 1000.000 ± 0.000
Epoch #9: episode_reward: 2364.466 ± 776.251,                               episode_length: 1000.000 ± 0.000
Epoch #10: episode_reward: 2021.354 ± 656.024,                               episode_length: 1000.000 ± 0.000
Epoch #11: episode_reward: 2190.986 ± 81.021,                               episode_length: 1000.000 ± 0.000
Epoch #12: episode_reward: -126.526 ± 126.341,                               episode_length: 1000.000 ± 0.000
Epoch #13: episode_reward: 916.518 ± 1072.144,                               episode_length: 1000.000 ± 0.000
Epoch #14: episode_reward: 588.383 ± 1189.568,                               episode_length: 1000.000 ± 0.000
Epoch #15: episode_reward: 877.428 ± 542.142,                               episode_length: 1000.000 ± 0.000
Epoch #16: episode_reward: 2247.192 ± 997.172,                               episode_length: 1000.000 ± 0.000
Epoch #17: episode_reward: 2052.298 ± 1450.472,                               episode_length: 1000.000 ± 0.000
Epoch #18: episode_reward: 1332.339 ± 1243.035,                               episode_length: 1000.000 ± 0.000
Epoch #19: episode_reward: 1738.850 ± 1059.244,                               episode_length: 1000.000 ± 0.000
Epoch #20: episode_reward: 4106.671 ± 76.846,                               episode_length: 1000.000 ± 0.000
Epoch #21: episode_reward: 3661.503 ± 559.033,                               episode_length: 1000.000 ± 0.000
Epoch #22: episode_reward: 289.706 ± 431.706,                               episode_length: 1000.000 ± 0.000
Epoch #23: episode_reward: 3451.728 ± 132.687,                               episode_length: 1000.000 ± 0.000
Epoch #24: episode_reward: 3946.237 ± 127.966,                               episode_length: 1000.000 ± 0.000
Epoch #25: episode_reward: 4220.300 ± 122.076,                               episode_length: 1000.000 ± 0.000
Epoch #26: episode_reward: 3555.218 ± 1113.034,                               episode_length: 1000.000 ± 0.000
Epoch #27: episode_reward: 4024.154 ± 94.210,                               episode_length: 1000.000 ± 0.000
Epoch #28: episode_reward: 561.796 ± 687.570,                               episode_length: 1000.000 ± 0.000
Epoch #29: episode_reward: 4371.178 ± 131.015,                               episode_length: 1000.000 ± 0.000
Epoch #30: episode_reward: 4253.699 ± 58.771,                               episode_length: 1000.000 ± 0.000
Epoch #31: episode_reward: 4388.121 ± 70.722,                               episode_length: 1000.000 ± 0.000
Epoch #32: episode_reward: 4479.185 ± 82.709,                               episode_length: 1000.000 ± 0.000
Epoch #33: episode_reward: 4245.829 ± 80.421,                               episode_length: 1000.000 ± 0.000
Epoch #34: episode_reward: 4219.837 ± 105.575,                               episode_length: 1000.000 ± 0.000
Epoch #35: episode_reward: 4232.229 ± 454.664,                               episode_length: 1000.000 ± 0.000
Epoch #36: episode_reward: 4507.801 ± 93.175,                               episode_length: 1000.000 ± 0.000
Epoch #37: episode_reward: 4385.621 ± 85.722,                               episode_length: 1000.000 ± 0.000
Epoch #38: episode_reward: 4268.180 ± 954.852,                               episode_length: 1000.000 ± 0.000
Epoch #39: episode_reward: 4399.510 ± 77.512,                               episode_length: 1000.000 ± 0.000
Epoch #40: episode_reward: 4287.648 ± 870.118,                               episode_length: 1000.000 ± 0.000
Epoch #41: episode_reward: 4546.310 ± 75.578,                               episode_length: 1000.000 ± 0.000
Epoch #42: episode_reward: 4627.802 ± 72.582,                               episode_length: 1000.000 ± 0.000
Epoch #43: episode_reward: 4232.134 ± 60.114,                               episode_length: 1000.000 ± 0.000
Epoch #44: episode_reward: 4345.202 ± 74.400,                               episode_length: 1000.000 ± 0.000
Epoch #45: episode_reward: 4565.604 ± 77.760,                               episode_length: 1000.000 ± 0.000
Epoch #46: episode_reward: 4046.292 ± 1265.368,                               episode_length: 1000.000 ± 0.000
Epoch #47: episode_reward: 4606.474 ± 89.584,                               episode_length: 1000.000 ± 0.000
Epoch #48: episode_reward: 4212.907 ± 864.198,                               episode_length: 1000.000 ± 0.000
Epoch #49: episode_reward: 4809.656 ± 55.399,                               episode_length: 1000.000 ± 0.000
Epoch #50: episode_reward: 4431.544 ± 80.242,                               episode_length: 1000.000 ± 0.000
Epoch #51: episode_reward: 4610.275 ± 101.469,                               episode_length: 1000.000 ± 0.000
Epoch #52: episode_reward: 4357.671 ± 77.941,                               episode_length: 1000.000 ± 0.000
Epoch #53: episode_reward: 4667.504 ± 96.909,                               episode_length: 1000.000 ± 0.000
