Timesteps,episode_reward_mean,episode_reward_std
1000,-1.1182,0.637
2000,-1.065,0.2602
3000,265.8122,89.8215
4000,1328.1723,149.8552
5000,1250.3494,612.0796
6000,692.704,438.2258
7000,962.1168,527.0952
8000,1185.3207,623.948
9000,2308.7119,55.7544
10000,1670.4232,350.9306
11000,1254.7856,936.2
12000,-64.5839,61.9422
13000,827.7732,88.7448
14000,1624.4211,1036.0376
15000,2064.1668,1186.7391
16000,2683.5977,436.406
17000,2789.5498,737.2512
18000,1751.5435,419.2041
19000,2080.9572,342.1075
20000,3996.8629,109.8085
21000,3533.1234,128.3798
22000,2027.3966,1737.6901
23000,3561.8654,110.137
24000,3893.6156,52.6215
25000,3113.706,1106.5938
26000,3986.8136,431.5956
27000,4246.0022,221.8479
28000,2234.426,1672.6302
29000,4421.7278,50.55
30000,4301.5498,47.8511
31000,4421.3426,33.222
32000,4114.227,364.9575
33000,4311.3975,65.5689
34000,4328.8692,109.0327
35000,4438.7683,206.5398
36000,4540.0781,32.2773
37000,4505.6208,120.0003
38000,4501.0423,232.8621
39000,4347.9582,51.552
40000,4481.6865,194.0381
41000,4567.0884,20.7783
42000,4735.0524,107.2503
43000,4372.274,140.1397
44000,4589.7524,244.5503
45000,4525.5801,40.0239
46000,4430.9506,384.6589
47000,4493.4353,113.0383
48000,4417.6118,204.7051
49000,4697.9418,111.7144
50000,4532.9128,101.3684
51000,4601.8379,8.437
52000,4449.8128,92.1418
53000,4395.6015,271.9018
54000,4285.4336,36.2651
55000,4518.6658,119.1838
56000,4600.1218,107.032
57000,4664.9145,52.8819
58000,4574.3999,31.9897
59000,4634.0372,181.5981
60000,4410.1578,291.5694
61000,4686.4803,17.7468
62000,4591.2869,39.0583
63000,4650.4429,18.0078
64000,4792.397,41.0493
65000,4528.96,30.7281
66000,4628.3982,112.9656
67000,4574.4808,51.5251
68000,4640.9983,112.2302
69000,4713.9895,142.6951
70000,4890.4742,122.8394
71000,4801.1135,100.6062
72000,4701.336,71.8926
73000,4533.4592,165.2727
74000,4747.9394,94.5547
75000,4618.0132,76.9741
76000,4844.3432,120.4239
77000,4830.5776,18.6435
78000,4744.6372,43.7378
79000,4818.2339,69.8423
80000,4680.3005,157.2727
81000,4812.4914,105.5695
82000,4908.5664,164.7876
83000,4722.9726,141.0347
84000,4836.02,79.0415
85000,4748.0466,143.4504
86000,4843.7397,150.3374
87000,4798.2976,129.9866
88000,4762.3999,155.3472
89000,4794.6194,21.2419
90000,4925.2874,16.6917
91000,4978.0234,78.7764
92000,4870.27,55.9272
93000,4808.032,6.8181
94000,4907.9805,244.5537
95000,4835.0195,99.5327
96000,4865.5386,70.3726
97000,4916.9858,45.8174
98000,4912.2422,32.3301
99000,4897.9199,67.4243
100000,4785.3604,50.9639
