Timesteps,episode_reward
1000,-0.4813
2000,-0.8047
3000,175.9907
4000,1478.0276
5000,1862.429
6000,254.4781
7000,435.0216
8000,561.3726
9000,2364.4663
10000,2021.3538
11000,2190.9856
12000,-126.5261
13000,916.5179
14000,588.3834
15000,877.4277
16000,2247.1917
17000,2052.2986
18000,1332.3394
19000,1738.8496
20000,4106.6714
21000,3661.5032
22000,289.7065
23000,3451.7283
24000,3946.2371
25000,4220.2998
26000,3555.218
27000,4024.1543
28000,561.7958
29000,4371.1777
30000,4253.6987
31000,4388.1206
32000,4479.1846
33000,4245.8286
34000,4219.8364
35000,4232.2285
36000,4507.8008
37000,4385.6206
38000,4268.1802
39000,4399.5103
40000,4287.6484
41000,4546.3101
42000,4627.8022
43000,4232.1343
44000,4345.2021
45000,4565.604
46000,4046.2917
47000,4606.4736
48000,4212.9067
49000,4809.6562
50000,4431.5444
51000,4610.2749
52000,4357.6709
53000,4667.5034
54000,4249.1685
55000,4637.8496
56000,4707.1538
57000,4612.0327
58000,4542.4102
59000,4452.439
60000,4118.5884
61000,4704.2271
62000,4630.3452
63000,4632.4351
64000,4751.3477
65000,4559.688
66000,4515.4326
67000,4522.9556
68000,4528.7681
69000,4571.2944
70000,4767.6348
71000,4700.5073
72000,4629.4434
73000,4368.1865
74000,4653.3848
75000,4541.0391
76000,4723.9194
77000,4811.9341
78000,4700.8994
79000,4748.3916
80000,4523.0278
81000,4706.9219
82000,4743.7788
83000,4581.938
84000,4756.9785
85000,4604.5962
86000,4693.4023
87000,4668.311
88000,4607.0527
89000,4815.8613
90000,4941.979
91000,4899.2471
92000,4814.3428
93000,4814.8501
94000,4663.4268
95000,4735.4868
96000,4795.166
97000,4962.8032
98000,4879.9121
99000,4830.4956
100000,4734.3965
