Epoch #1: episode_reward: -1.755 ± 0.902,                               episode_length: 1000.000 ± 0.000
Epoch #2: episode_reward: -1.325 ± 1.008,                               episode_length: 1000.000 ± 0.000
Epoch #3: episode_reward: 355.634 ± 8.753,                               episode_length: 1000.000 ± 0.000
Epoch #4: episode_reward: 1178.317 ± 43.202,                               episode_length: 1000.000 ± 0.000
Epoch #5: episode_reward: 638.270 ± 568.787,                               episode_length: 1000.000 ± 0.000
Epoch #6: episode_reward: 1130.930 ± 605.414,                               episode_length: 1000.000 ± 0.000
Epoch #7: episode_reward: 1489.212 ± 842.865,                               episode_length: 1000.000 ± 0.000
Epoch #8: episode_reward: 1809.269 ± 904.612,                               episode_length: 1000.000 ± 0.000
Epoch #9: episode_reward: 2252.958 ± 312.887,                               episode_length: 1000.000 ± 0.000
Epoch #10: episode_reward: 1319.493 ± 1143.405,                               episode_length: 1000.000 ± 0.000
Epoch #11: episode_reward: 318.586 ± 473.502,                               episode_length: 1000.000 ± 0.000
Epoch #12: episode_reward: -2.642 ± 210.016,                               episode_length: 1000.000 ± 0.000
Epoch #13: episode_reward: 739.028 ± 728.437,                               episode_length: 1000.000 ± 0.000
Epoch #14: episode_reward: 2660.459 ± 1344.899,                               episode_length: 1000.000 ± 0.000
Epoch #15: episode_reward: 3250.906 ± 61.583,                               episode_length: 1000.000 ± 0.000
Epoch #16: episode_reward: 3120.004 ± 58.899,                               episode_length: 1000.000 ± 0.000
Epoch #17: episode_reward: 3526.801 ± 793.050,                               episode_length: 1000.000 ± 0.000
Epoch #18: episode_reward: 2170.748 ± 1843.512,                               episode_length: 1000.000 ± 0.000
Epoch #19: episode_reward: 2423.065 ± 1475.515,                               episode_length: 1000.000 ± 0.000
Epoch #20: episode_reward: 3887.054 ± 102.843,                               episode_length: 1000.000 ± 0.000
Epoch #21: episode_reward: 3404.744 ± 1010.545,                               episode_length: 1000.000 ± 0.000
Epoch #22: episode_reward: 3765.087 ± 72.630,                               episode_length: 1000.000 ± 0.000
Epoch #23: episode_reward: 3672.002 ± 159.549,                               episode_length: 1000.000 ± 0.000
Epoch #24: episode_reward: 3840.994 ± 104.759,                               episode_length: 1000.000 ± 0.000
Epoch #25: episode_reward: 2007.112 ± 617.728,                               episode_length: 1000.000 ± 0.000
Epoch #26: episode_reward: 4418.409 ± 95.534,                               episode_length: 1000.000 ± 0.000
