Epoch #1: episode_reward: -1.701 ± 0.912,                               episode_length: 1000.000 ± 0.000
Epoch #2: episode_reward: -4.956 ± 0.551,                               episode_length: 1000.000 ± 0.000
Epoch #3: episode_reward: -32.925 ± 0.739,                               episode_length: 1000.000 ± 0.000
Epoch #4: episode_reward: -47.758 ± 1.114,                               episode_length: 1000.000 ± 0.000
Epoch #5: episode_reward: -39.560 ± 30.799,                               episode_length: 1000.000 ± 0.000
Epoch #6: episode_reward: -33.879 ± 3.176,                               episode_length: 1000.000 ± 0.000
Epoch #7: episode_reward: -58.872 ± 0.887,                               episode_length: 1000.000 ± 0.000
Epoch #8: episode_reward: -225.217 ± 0.889,                               episode_length: 1000.000 ± 0.000
Epoch #9: episode_reward: -289.532 ± 2.364,                               episode_length: 1000.000 ± 0.000
Epoch #10: episode_reward: -104.755 ± 81.993,                               episode_length: 1000.000 ± 0.000
Epoch #11: episode_reward: -53.347 ± 3.597,                               episode_length: 1000.000 ± 0.000
Epoch #12: episode_reward: -73.980 ± 9.731,                               episode_length: 1000.000 ± 0.000
Epoch #13: episode_reward: -226.919 ± 60.043,                               episode_length: 1000.000 ± 0.000
Epoch #14: episode_reward: -82.973 ± 43.363,                               episode_length: 1000.000 ± 0.000
Epoch #15: episode_reward: 1290.582 ± 13.064,                               episode_length: 1000.000 ± 0.000
Epoch #16: episode_reward: 1136.407 ± 419.750,                               episode_length: 1000.000 ± 0.000
Epoch #17: episode_reward: 1603.870 ± 25.911,                               episode_length: 1000.000 ± 0.000
Epoch #18: episode_reward: 1782.134 ± 28.928,                               episode_length: 1000.000 ± 0.000
Epoch #19: episode_reward: 1878.261 ± 49.835,                               episode_length: 1000.000 ± 0.000
Epoch #20: episode_reward: 2017.576 ± 21.222,                               episode_length: 1000.000 ± 0.000
Epoch #21: episode_reward: 1902.326 ± 1051.032,                               episode_length: 1000.000 ± 0.000
Epoch #22: episode_reward: 2136.815 ± 39.599,                               episode_length: 1000.000 ± 0.000
Epoch #23: episode_reward: 2105.751 ± 23.409,                               episode_length: 1000.000 ± 0.000
Epoch #24: episode_reward: 2080.083 ± 28.474,                               episode_length: 1000.000 ± 0.000
Epoch #25: episode_reward: 1972.482 ± 17.339,                               episode_length: 1000.000 ± 0.000
Epoch #26: episode_reward: 1833.003 ± 12.295,                               episode_length: 1000.000 ± 0.000
Epoch #27: episode_reward: 1953.800 ± 25.547,                               episode_length: 1000.000 ± 0.000
Epoch #28: episode_reward: 2115.276 ± 18.569,                               episode_length: 1000.000 ± 0.000
Epoch #29: episode_reward: 1890.223 ± 26.590,                               episode_length: 1000.000 ± 0.000
Epoch #30: episode_reward: 2087.055 ± 27.697,                               episode_length: 1000.000 ± 0.000
Epoch #31: episode_reward: 2104.425 ± 20.498,                               episode_length: 1000.000 ± 0.000
Epoch #32: episode_reward: 1902.486 ± 16.276,                               episode_length: 1000.000 ± 0.000
Epoch #33: episode_reward: 2460.979 ± 31.041,                               episode_length: 1000.000 ± 0.000
Epoch #34: episode_reward: 2001.149 ± 21.020,                               episode_length: 1000.000 ± 0.000
Epoch #35: episode_reward: 1934.963 ± 29.497,                               episode_length: 1000.000 ± 0.000
